,,,,,,,,,,,,,,,,,,,
,FULL SEQUENCE,,,,,,,,,,,,NO INTEGERS,,,,,,
,,,,,,,,,,,,,,,,,,,
#,#,2,3,5,7,,PRODUCT,,,,#,#,2,3,5,7,,PRODUCT,
1,1,-2,-2,-2,-2,,44100,,,,1,1,1,-2,-2,-2,,5512.5,
2,2,-1,-2,-2,-2,,22050,,,,2,2,2,-2,-2,-2,,2756.25,
3,3,-2,-1,-2,-2,,14700,,,,3,3,1,-1,-2,-2,,1837.5,
4,4,0,-2,-2,-2,,11025,,,,4,4,-2,1,-2,-2,,1633.33333333333,
5,5,-2,-2,-1,-2,,8820,,,,5,5,1,-2,-1,-2,,1102.5,
6,6,-1,-1,-2,-2,,7350,,,,6,6,2,-1,-2,-2,,918.75,
7,7,-2,-2,-2,-1,,6300,,,,7,7,-1,1,-2,-2,,816.666666666667,
8,8,1,-2,-2,-2,,5512.5,,,,8,8,1,-2,-2,-1,,787.5,
9,9,-2,0,-2,-2,,4900,,,,9,9,1,0,-2,-2,,612.5,
10,10,-1,-2,-1,-2,,4410,,,,10,10,2,-2,-1,-2,,551.25,
11,11,0,-1,-2,-2,,3675,,,,11,11,-2,2,-2,-2,,544.444444444444,
12,12,-1,-2,-2,-1,,3150,,,,12,12,0,1,-2,-2,,408.333333333333,
13,13,-2,-1,-1,-2,,2940,,,,13,13,2,-2,-2,-1,,393.75,
14,14,2,-2,-2,-2,,2756.25,,,,14,14,1,-1,-1,-2,,367.5,
15,15,-1,0,-2,-2,,2450,,,,15,15,-2,-2,1,-2,,352.8,
16,16,0,-2,-1,-2,,2205,,,,16,16,-2,1,-1,-2,,326.666666666667,
17,17,-2,-1,-2,-1,,2100,,,,17,17,2,0,-2,-2,,306.25,
18,18,1,-1,-2,-2,,1837.5,,,,18,18,-1,2,-2,-2,,272.222222222222,
19,19,-2,-2,0,-2,,1764,,,,19,19,1,-1,-2,-1,,262.5,
20,20,-2,1,-2,-2,,1633.33333333333,,,,20,20,-2,1,-2,-1,,233.333333333333,
21,21,0,-2,-2,-1,,1575,,,,21,21,1,-2,0,-2,,220.5,
22,22,-1,-1,-1,-2,,1470,,,,22,22,1,1,-2,-2,,204.166666666667,
23,23,-2,-2,-1,-1,,1260,,,,23,23,2,-1,-1,-2,,183.75,
24,24,0,0,-2,-2,,1225,,,,24,24,-1,-2,1,-2,,176.4,
25,25,1,-2,-1,-2,,1102.5,,,,25,25,-1,1,-1,-2,,163.333333333333,
26,26,-1,-1,-2,-1,,1050,,,,26,26,1,-2,-1,-1,,157.5,
27,27,-2,0,-1,-2,,980,,,,27,27,0,2,-2,-2,,136.111111111111,
28,28,2,-1,-2,-2,,918.75,,,,28,28,2,-1,-2,-1,,131.25,
29,29,-2,-2,-2,0,,900,,,,29,29,-2,-2,-2,1,,128.571428571429,
30,30,-1,-2,0,-2,,882,,,,30,30,1,0,-1,-2,,122.5,
31,31,-1,1,-2,-2,,816.666666666667,,,,31,31,-2,-1,1,-2,,117.6,
32,32,1,-2,-2,-1,,787.5,,,,32,32,-1,1,-2,-1,,116.666666666667,
33,33,0,-1,-1,-2,,735,,,,33,33,1,-2,-2,0,,112.5,
34,34,-2,0,-2,-1,,700,,,,34,34,2,-2,0,-2,,110.25,
35,35,-1,-2,-1,-1,,630,,,,35,35,-2,2,-1,-2,,108.888888888889,
36,36,1,0,-2,-2,,612.5,,,,36,36,2,1,-2,-2,,102.083333333333,
37,37,-2,-1,0,-2,,588,,,,37,37,0,-2,1,-2,,88.2,
38,38,2,-2,-1,-2,,551.25,,,,38,38,1,0,-2,-1,,87.5,
39,39,-2,2,-2,-2,,544.444444444444,,,,39,39,0,1,-1,-2,,81.6666666666667,
40,40,0,-1,-2,-1,,525,,,,40,40,2,-2,-1,-1,,78.75,
41,41,-1,0,-1,-2,,490,,,,41,41,-2,2,-2,-1,,77.7777777777778,
42,42,-1,-2,-2,0,,450,,,,42,42,0,-1,-2,0,,75,
43,43,0,-2,0,-2,,441,,,,43,43,1,-1,0,-2,,73.5,
44,44,-2,-1,-1,-1,,420,,,,44,44,-2,-2,2,-2,,70.56,
45,45,0,1,-2,-2,,408.333333333333,,,,45,45,1,2,-2,-2,,68.0555555555556,
46,46,2,-2,-2,-1,,393.75,,,,46,46,-2,1,0,-2,,65.3333333333333,
47,47,1,-1,-1,-2,,367.5,,,,47,47,-1,-2,-2,1,,64.2857142857143,
48,48,-2,-2,1,-2,,352.8,,,,48,48,2,0,-1,-2,,61.25,
49,49,-1,0,-2,-1,,350,,,,49,49,-1,-1,1,-2,,58.8,
50,50,-2,1,-1,-2,,326.666666666667,,,,50,50,0,1,-2,-1,,58.3333333333333,
51,51,0,-2,-1,-1,,315,,,,51,51,2,-2,-2,0,,56.25,
52,52,2,0,-2,-2,,306.25,,,,52,52,-1,2,-1,-2,,54.4444444444444,
53,53,-2,-1,-2,0,,300,,,,53,53,1,-1,-1,-1,,52.5,
54,54,-1,-1,0,-2,,294,,,,54,54,-2,-2,1,-1,,50.4,
55,55,-1,2,-2,-2,,272.222222222222,,,,55,55,-2,1,-1,-1,,46.6666666666667,
56,56,1,-1,-2,-1,,262.5,,,,56,56,1,-2,1,-2,,44.1,
57,57,-2,-2,0,-1,,252,,,,57,57,2,0,-2,-1,,43.75,
58,58,0,0,-1,-2,,245,,,,58,58,-2,-1,-2,1,,42.8571428571429,
59,59,-2,1,-2,-1,,233.333333333333,,,,59,59,1,1,-1,-2,,40.8333333333333,
60,60,0,-2,-2,0,,225,,,,60,60,-2,0,1,-2,,39.2,
61,61,1,-2,0,-2,,220.5,,,,61,61,-1,2,-2,-1,,38.8888888888889,
62,62,-1,-1,-1,-1,,210,,,,62,62,1,-1,-2,0,,37.5,
63,63,1,1,-2,-2,,204.166666666667,,,,63,63,2,-1,0,-2,,36.75,
64,64,-2,0,0,-2,,196,,,,64,64,-1,-2,2,-2,,35.28,
65,65,2,-1,-1,-2,,183.75,,,,65,65,2,2,-2,-2,,34.0277777777778,
66,66,-2,-2,-1,0,,180,,,,66,66,-2,1,-2,0,,33.3333333333333,
67,67,-1,-2,1,-2,,176.4,,,,67,67,-1,1,0,-2,,32.6666666666667,
68,68,0,0,-2,-1,,175,,,,68,68,0,-2,-2,1,,32.1428571428571,
69,69,-1,1,-1,-2,,163.333333333333,,,,69,69,1,-2,0,-1,,31.5,
70,70,1,-2,-1,-1,,157.5,,,,70,70,-1,-1,-1,0,,30,
71,71,-1,-1,-2,0,,150,,,,71,71,0,-1,1,-2,,29.4,
72,72,0,-1,0,-2,,147,,,,72,72,1,1,-2,-1,,29.1666666666667,
73,73,-2,0,-1,-1,,140,,,,73,73,0,2,-1,-2,,27.2222222222222,
74,74,0,2,-2,-2,,136.111111111111,,,,74,74,2,-1,-1,-1,,26.25,
75,75,2,-1,-2,-1,,131.25,,,,75,75,-2,-2,-1,1,,25.7142857142857,
76,76,-2,-2,-2,1,,128.571428571429,,,,76,76,-1,-2,1,-1,,25.2,
77,77,-1,-2,0,-1,,126,,,,77,77,1,0,0,-2,,24.5,
78,78,1,0,-1,-2,,122.5,,,,78,78,-2,-1,2,-2,,23.52,
79,79,-2,-1,1,-2,,117.6,,,,79,79,-1,1,-1,-1,,23.3333333333333,
80,80,-1,1,-2,-1,,116.666666666667,,,,80,80,1,-2,-1,0,,22.5,
81,81,1,-2,-2,0,,112.5,,,,81,81,2,-2,1,-2,,22.05,
82,82,2,-2,0,-2,,110.25,,,,82,82,-2,2,0,-2,,21.7777777777778,
83,83,-2,2,-1,-2,,108.888888888889,,,,83,83,-1,-1,-2,1,,21.4285714285714,
84,84,0,-1,-1,-1,,105,,,,84,84,2,1,-1,-2,,20.4166666666667,
85,85,2,1,-2,-2,,102.083333333333,,,,85,85,-1,0,1,-2,,19.6,
86,86,-2,0,-2,0,,100,,,,86,86,0,2,-2,-1,,19.4444444444444,
87,87,-1,0,0,-2,,98,,,,87,87,2,-1,-2,0,,18.75,
88,88,-1,-2,-1,0,,90,,,,88,88,-2,-2,-2,2,,18.3673469387755,
89,89,0,-2,1,-2,,88.2,,,,89,89,0,-2,2,-2,,17.64,
90,90,1,0,-2,-1,,87.5,,,,90,90,1,0,-1,-1,,17.5,
91,91,-2,-1,0,-1,,84,,,,91,91,-2,-1,1,-1,,16.8,
92,92,0,1,-1,-2,,81.6666666666667,,,,92,92,-1,1,-2,0,,16.6666666666667,
93,93,2,-2,-1,-1,,78.75,,,,93,93,0,1,0,-2,,16.3333333333333,
94,94,-2,2,-2,-1,,77.7777777777778,,,,94,94,1,-2,-2,1,,16.0714285714286,
95,95,0,-1,-2,0,,75,,,,95,95,2,-2,0,-1,,15.75,
96,96,1,-1,0,-2,,73.5,,,,96,96,-2,2,-1,-1,,15.5555555555556,
97,97,-2,-2,2,-2,,70.56,,,,97,97,1,-1,1,-2,,14.7,
98,98,-1,0,-1,-1,,70,,,,98,98,2,1,-2,-1,,14.5833333333333,
99,99,1,2,-2,-2,,68.0555555555556,,,,99,99,-2,0,-2,1,,14.2857142857143,
100,100,-2,1,0,-2,,65.3333333333333,,,,100,100,1,2,-1,-2,,13.6111111111111,
101,101,-1,-2,-2,1,,64.2857142857143,,,,101,101,-2,1,1,-2,,13.0666666666667,
102,102,0,-2,0,-1,,63,,,,102,102,-1,-2,-1,1,,12.8571428571429,
103,103,2,0,-1,-2,,61.25,,,,103,103,0,-2,1,-1,,12.6,
104,104,-2,-1,-1,0,,60,,,,104,104,1,0,-2,0,,12.5,
105,105,-1,-1,1,-2,,58.8,,,,105,105,2,0,0,-2,,12.25,
106,106,0,1,-2,-1,,58.3333333333333,,,,106,106,-1,-1,2,-2,,11.76,
107,107,2,-2,-2,0,,56.25,,,,107,107,0,1,-1,-1,,11.6666666666667,
108,108,-1,2,-1,-2,,54.4444444444444,,,,108,108,2,-2,-1,0,,11.25,
109,109,1,-1,-1,-1,,52.5,,,,109,109,-2,2,-2,0,,11.1111111111111,
110,110,-2,-2,1,-1,,50.4,,,,110,110,-1,2,0,-2,,10.8888888888889,
111,111,-1,0,-2,0,,50,,,,111,111,0,-1,-2,1,,10.7142857142857,
112,112,0,0,0,-2,,49,,,,112,112,1,-1,0,-1,,10.5,
113,113,-2,1,-1,-1,,46.6666666666667,,,,113,113,-2,-2,2,-1,,10.08,x
114,114,0,-2,-1,0,,45,,,,114,114,0,0,1,-2,,9.8,
115,115,1,-2,1,-2,,44.1,,,,115,115,1,2,-2,-1,,9.72222222222222,
116,116,2,0,-2,-1,,43.75,,,,116,116,-2,1,0,-1,,9.33333333333333,
117,117,-2,-1,-2,1,,42.8571428571429,,,,117,117,-1,-2,-2,2,,9.18367346938775,
118,118,-1,-1,0,-1,,42,,,,118,118,1,-2,2,-2,,8.82,
119,119,1,1,-1,-2,,40.8333333333333,,,,119,119,2,0,-1,-1,,8.75,
120,120,-2,0,1,-2,,39.2,,,,120,120,-2,-1,-1,1,,8.57142857142857,
121,121,-1,2,-2,-1,,38.8888888888889,,,,121,121,-1,-1,1,-1,,8.4,
122,122,1,-1,-2,0,,37.5,,,,122,122,0,1,-2,0,,8.33333333333333,
123,123,2,-1,0,-2,,36.75,,,,123,123,1,1,0,-2,,8.16666666666667,
124,124,-2,-2,0,0,,36,,,,124,124,2,-2,-2,1,,8.03571428571429,
125,125,-1,-2,2,-2,,35.28,,,,125,125,-2,0,2,-2,,7.84,
126,126,0,0,-1,-1,,35,,,,126,126,-1,2,-1,-1,,7.77777777777778,
127,127,2,2,-2,-2,,34.0277777777778,,,,127,127,1,-1,-1,0,,7.5,
128,128,-2,1,-2,0,,33.3333333333333,,,,128,128,2,-1,1,-2,,7.35,
129,129,-1,1,0,-2,,32.6666666666667,,,,129,129,-2,-2,1,0,,7.2,
130,130,0,-2,-2,1,,32.1428571428571,,,,130,130,-1,0,-2,1,,7.14285714285714,
131,131,1,-2,0,-1,,31.5,,,,131,131,2,2,-1,-2,,6.80555555555556,
132,132,-1,-1,-1,0,,30,,,,132,132,-2,1,-1,0,,6.66666666666667,
133,133,0,-1,1,-2,,29.4,,,,133,133,-1,1,1,-2,,6.53333333333333,
134,134,1,1,-2,-1,,29.1666666666667,,,,134,134,0,-2,-1,1,,6.42857142857143,
135,135,-2,0,0,-1,,28,,,,135,135,1,-2,1,-1,,6.3,
136,136,0,2,-1,-2,,27.2222222222222,,,,136,136,2,0,-2,0,,6.25,
137,137,2,-1,-1,-1,,26.25,,,,137,137,-2,-1,-2,2,,6.12244897959183,
138,138,-2,-2,-1,1,,25.7142857142857,,,,138,138,0,-1,2,-2,,5.88,
139,139,-1,-2,1,-1,,25.2,,,,139,139,1,1,-1,-1,,5.83333333333333,
140,140,0,0,-2,0,,25,,,,140,140,-2,0,1,-1,,5.6,
141,141,1,0,0,-2,,24.5,,,,141,141,-1,2,-2,0,,5.55555555555556,
142,142,-2,-1,2,-2,,23.52,,,,142,142,0,2,0,-2,,5.44444444444444,
143,143,-1,1,-1,-1,,23.3333333333333,,,,143,143,1,-1,-2,1,,5.35714285714286,
144,144,1,-2,-1,0,,22.5,,,,144,144,2,-1,0,-1,,5.25,
145,145,2,-2,1,-2,,22.05,,,,145,145,-2,-2,0,1,,5.14285714285714,
146,146,-2,2,0,-2,,21.7777777777778,,,,146,146,-1,-2,2,-1,,5.04,
147,147,-1,-1,-2,1,,21.4285714285714,,,,147,147,1,0,1,-2,,4.9,
148,148,0,-1,0,-1,,21,,,,148,148,2,2,-2,-1,,4.86111111111111,
149,149,2,1,-1,-2,,20.4166666666667,,,,149,149,-2,1,-2,1,,4.76190476190476,
150,150,-2,0,-1,0,,20,,,,150,150,-1,1,0,-1,,4.66666666666667,
151,151,-1,0,1,-2,,19.6,,,,151,151,0,-2,-2,2,,4.59183673469388,
152,152,0,2,-2,-1,,19.4444444444444,,,,152,152,1,-2,0,0,,4.5,
153,153,2,-1,-2,0,,18.75,,,,153,153,2,-2,2,-2,,4.41,
154,154,-2,-2,-2,2,,18.3673469387755,,,,154,154,-2,2,1,-2,,4.35555555555556,
155,155,-1,-2,0,0,,18,,,,155,155,-1,-1,-1,1,,4.28571428571429,
156,156,0,-2,2,-2,,17.64,,,,156,156,0,-1,1,-1,,4.2,
157,157,1,0,-1,-1,,17.5,,,,157,157,1,1,-2,0,,4.16666666666667,
158,158,-2,-1,1,-1,,16.8,,,,158,158,2,1,0,-2,,4.08333333333333,
159,159,-1,1,-2,0,,16.6666666666667,,,,159,159,-1,0,2,-2,,3.92,
160,160,0,1,0,-2,,16.3333333333333,,,,160,160,0,2,-1,-1,,3.88888888888889,
161,161,1,-2,-2,1,,16.0714285714286,,,,161,161,2,-1,-1,0,,3.75,
162,162,2,-2,0,-1,,15.75,,,,162,162,-2,-2,-1,2,,3.6734693877551,
163,163,-2,2,-1,-1,,15.5555555555556,,,,163,163,-1,-2,1,0,,3.6,
164,164,0,-1,-1,0,,15,,,,164,164,0,0,-2,1,,3.57142857142857,
165,165,1,-1,1,-2,,14.7,,,,165,165,1,0,0,-1,,3.5,
166,166,2,1,-2,-1,,14.5833333333333,,,,166,166,-2,-1,2,-1,,3.36,
167,167,-2,0,-2,1,,14.2857142857143,,,,167,167,-1,1,-1,0,,3.33333333333333,
168,168,-1,0,0,-1,,14,,,,168,168,0,1,1,-2,,3.26666666666667,
169,169,1,2,-1,-2,,13.6111111111111,,,,169,169,1,-2,-1,1,,3.21428571428571,
