##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
0,0,0,0.17,0.322,0.492,0.585,0.755,0.907,1,1.17,1.322,1.492,1.585,1.755,1.907,2,2.17,2.322,2.492,2.585,2.755
1,1,0,0.17,0.322,0.492,0.585,0.755,0.907,1,1.17,1.322,1.492,1.585,1.755,1.907,2,2.17,2.322,2.492,2.585,2.755
2,2,0.077,0.17,0.322,0.492,0.585,0.755,0.907,1.077,1.17,1.322,1.492,1.585,1.755,1.907,2.077,2.17,2.322,2.492,2.585,2.755
3,3,0.077,0.17,0.322,0.492,0.585,0.755,0.907,1.077,1.17,1.322,1.492,1.585,1.755,1.907,2.077,2.17,2.322,2.492,2.585,2.755
4,4,0.077,0.17,0.34,0.492,0.585,0.755,0.907,1.077,1.17,1.34,1.492,1.585,1.755,1.907,2.077,2.17,2.34,2.492,2.585,2.755
5,5,0.077,0.17,0.34,0.492,0.585,0.755,0.907,1.077,1.17,1.34,1.492,1.585,1.755,1.907,2.077,2.17,2.34,2.492,2.585,2.755
6,6,0.077,0.17,0.34,0.492,0.662,0.755,0.907,1.077,1.17,1.34,1.492,1.662,1.755,1.907,2.077,2.17,2.34,2.492,2.662,2.755
7,7,0.077,0.17,0.34,0.492,0.662,0.755,0.907,1.077,1.17,1.34,1.492,1.662,1.755,1.907,2.077,2.17,2.34,2.492,2.662,2.755
8,8,0.077,0.17,0.34,0.492,0.662,0.755,0.925,1.077,1.17,1.34,1.492,1.662,1.755,1.925,2.077,2.17,2.34,2.492,2.662,2.755
9,9,0.077,0.17,0.34,0.492,0.662,0.755,0.925,1.077,1.17,1.34,1.492,1.662,1.755,1.925,2.077,2.17,2.34,2.492,2.662,2.755
10,10,0.077,0.247,0.34,0.492,0.662,0.755,0.925,1.077,1.247,1.34,1.492,1.662,1.755,1.925,2.077,2.247,2.34,2.492,2.662,2.755
11,11,0.077,0.247,0.34,0.492,0.662,0.755,0.925,1.077,1.247,1.34,1.492,1.662,1.755,1.925,2.077,2.247,2.34,2.492,2.662,2.755
12,12,0.077,0.247,0.34,0.51,0.662,0.755,0.925,1.077,1.247,1.34,1.51,1.662,1.755,1.925,2.077,2.247,2.34,2.51,2.662,2.755
13,13,0.077,0.247,0.34,0.51,0.662,0.755,0.925,1.077,1.247,1.34,1.51,1.662,1.755,1.925,2.077,2.247,2.34,2.51,2.662,2.755
14,14,0.077,0.247,0.34,0.51,0.662,0.832,0.925,1.077,1.247,1.34,1.51,1.662,1.832,1.925,2.077,2.247,2.34,2.51,2.662,2.832
15,15,0.077,0.247,0.34,0.51,0.662,0.832,0.925,1.077,1.247,1.34,1.51,1.662,1.832,1.925,2.077,2.247,2.34,2.51,2.662,2.832
16,16,0.095,0.247,0.34,0.51,0.662,0.832,0.925,1.095,1.247,1.34,1.51,1.662,1.832,1.925,2.095,2.247,2.34,2.51,2.662,2.832
17,17,0.095,0.247,0.34,0.51,0.662,0.832,0.925,1.095,1.247,1.34,1.51,1.662,1.832,1.925,2.095,2.247,2.34,2.51,2.662,2.832
18,18,0.095,0.247,0.417,0.51,0.662,0.832,0.925,1.095,1.247,1.417,1.51,1.662,1.832,1.925,2.095,2.247,2.417,2.51,2.662,2.832
19,19,0.095,0.247,0.417,0.51,0.662,0.832,0.925,1.095,1.247,1.417,1.51,1.662,1.832,1.925,2.095,2.247,2.417,2.51,2.662,2.832
20,20,0.095,0.247,0.417,0.51,0.68,0.832,0.925,1.095,1.247,1.417,1.51,1.68,1.832,1.925,2.095,2.247,2.417,2.51,2.68,2.832
21,21,0.095,0.247,0.417,0.51,0.68,0.832,0.925,1.095,1.247,1.417,1.51,1.68,1.832,1.925,2.095,2.247,2.417,2.51,2.68,2.832
22,22,0.002,0.095,0.247,0.417,0.51,0.68,0.832,1.002,1.095,1.247,1.417,1.51,1.68,1.832,2.002,2.095,2.247,2.417,2.51,2.68
23,23,0.002,0.095,0.247,0.417,0.51,0.68,0.832,1.002,1.095,1.247,1.417,1.51,1.68,1.832,2.002,2.095,2.247,2.417,2.51,2.68
24,24,0.002,0.095,0.265,0.417,0.51,0.68,0.832,1.002,1.095,1.265,1.417,1.51,1.68,1.832,2.002,2.095,2.265,2.417,2.51,2.68
25,25,0.002,0.095,0.265,0.417,0.51,0.68,0.832,1.002,1.095,1.265,1.417,1.51,1.68,1.832,2.002,2.095,2.265,2.417,2.51,2.68
26,26,0.002,0.095,0.265,0.417,0.587,0.68,0.832,1.002,1.095,1.265,1.417,1.587,1.68,1.832,2.002,2.095,2.265,2.417,2.587,2.68
27,27,0.002,0.095,0.265,0.417,0.587,0.68,0.832,1.002,1.095,1.265,1.417,1.587,1.68,1.832,2.002,2.095,2.265,2.417,2.587,2.68
28,28,0.002,0.095,0.265,0.417,0.587,0.68,0.85,1.002,1.095,1.265,1.417,1.587,1.68,1.85,2.002,2.095,2.265,2.417,2.587,2.68
29,29,0.002,0.095,0.265,0.417,0.587,0.68,0.85,1.002,1.095,1.265,1.417,1.587,1.68,1.85,2.002,2.095,2.265,2.417,2.587,2.68
30,30,0.002,0.172,0.265,0.417,0.587,0.68,0.85,1.002,1.172,1.265,1.417,1.587,1.68,1.85,2.002,2.172,2.265,2.417,2.587,2.68
31,31,0.002,0.172,0.265,0.417,0.587,0.68,0.85,1.002,1.172,1.265,1.417,1.587,1.68,1.85,2.002,2.172,2.265,2.417,2.587,2.68
32,32,0.002,0.172,0.265,0.435,0.587,0.68,0.85,1.002,1.172,1.265,1.435,1.587,1.68,1.85,2.002,2.172,2.265,2.435,2.587,2.68
33,33,0.002,0.172,0.265,0.435,0.587,0.68,0.85,1.002,1.172,1.265,1.435,1.587,1.68,1.85,2.002,2.172,2.265,2.435,2.587,2.68
34,34,0.002,0.172,0.265,0.435,0.587,0.757,0.85,1.002,1.172,1.265,1.435,1.587,1.757,1.85,2.002,2.172,2.265,2.435,2.587,2.757
35,35,0.002,0.172,0.265,0.435,0.587,0.757,0.85,1.002,1.172,1.265,1.435,1.587,1.757,1.85,2.002,2.172,2.265,2.435,2.587,2.757
36,36,0.02,0.172,0.265,0.435,0.587,0.757,0.85,1.02,1.172,1.265,1.435,1.587,1.757,1.85,2.02,2.172,2.265,2.435,2.587,2.757
37,37,0.02,0.172,0.265,0.435,0.587,0.757,0.85,1.02,1.172,1.265,1.435,1.587,1.757,1.85,2.02,2.172,2.265,2.435,2.587,2.757
38,38,0.02,0.172,0.342,0.435,0.587,0.757,0.85,1.02,1.172,1.342,1.435,1.587,1.757,1.85,2.02,2.172,2.342,2.435,2.587,2.757
39,39,0.02,0.172,0.342,0.435,0.587,0.757,0.85,1.02,1.172,1.342,1.435,1.587,1.757,1.85,2.02,2.172,2.342,2.435,2.587,2.757
40,40,0.02,0.172,0.342,0.435,0.605,0.757,0.85,1.02,1.172,1.342,1.435,1.605,1.757,1.85,2.02,2.172,2.342,2.435,2.605,2.757
41,41,0.02,0.172,0.342,0.435,0.605,0.757,0.85,1.02,1.172,1.342,1.435,1.605,1.757,1.85,2.02,2.172,2.342,2.435,2.605,2.757
42,42,0.02,0.172,0.342,0.435,0.605,0.757,0.927,1.02,1.172,1.342,1.435,1.605,1.757,1.927,2.02,2.172,2.342,2.435,2.605,2.757
43,43,0.02,0.172,0.342,0.435,0.605,0.757,0.927,1.02,1.172,1.342,1.435,1.605,1.757,1.927,2.02,2.172,2.342,2.435,2.605,2.757
44,44,0.02,0.19,0.342,0.435,0.605,0.757,0.927,1.02,1.19,1.342,1.435,1.605,1.757,1.927,2.02,2.19,2.342,2.435,2.605,2.757
45,45,0.02,0.19,0.342,0.435,0.605,0.757,0.927,1.02,1.19,1.342,1.435,1.605,1.757,1.927,2.02,2.19,2.342,2.435,2.605,2.757
