##,###,4,6,1,3,5,7,2,4,6,1,3,5,7,2,4,6,1,3,5,7
0,0,0,0.322,0.585,0.907,0.17,0.492,0.755,1,1.322,1.585,1.907,1.17,1.492,1.755,2,2.322,2.585,2.907,2.17,2.492
1,1,0,0.322,0.585,0.907,0.17,0.492,0.755,1,1.322,1.585,1.907,1.17,1.492,1.755,2,2.322,2.585,2.907,2.17,2.492
2,2,0.322,0.585,0.907,0.17,0.492,0.755,0.077,1.322,1.585,1.907,1.17,1.492,1.755,1.077,2.322,2.585,2.907,2.17,2.492,2.755
3,3,0.322,0.585,0.907,0.17,0.492,0.755,0.077,1.322,1.585,1.907,1.17,1.492,1.755,1.077,2.322,2.585,2.907,2.17,2.492,2.755
4,4,0.585,0.907,0.17,0.492,0.755,0.077,0.34,1.585,1.907,1.17,1.492,1.755,1.077,1.34,2.585,2.907,2.17,2.492,2.755,2.077
5,5,0.585,0.907,0.17,0.492,0.755,0.077,0.34,1.585,1.907,1.17,1.492,1.755,1.077,1.34,2.585,2.907,2.17,2.492,2.755,2.077
6,6,0.907,0.17,0.492,0.755,0.077,0.34,0.662,1.907,1.17,1.492,1.755,1.077,1.34,1.662,2.907,2.17,2.492,2.755,2.077,2.34
7,7,0.907,0.17,0.492,0.755,0.077,0.34,0.662,1.907,1.17,1.492,1.755,1.077,1.34,1.662,2.907,2.17,2.492,2.755,2.077,2.34
8,8,0.17,0.492,0.755,0.077,0.34,0.662,0.925,1.17,1.492,1.755,1.077,1.34,1.662,1.925,2.17,2.492,2.755,2.077,2.34,2.662
9,9,0.17,0.492,0.755,0.077,0.34,0.662,0.925,1.17,1.492,1.755,1.077,1.34,1.662,1.925,2.17,2.492,2.755,2.077,2.34,2.662
10,10,0.492,0.755,0.077,0.34,0.662,0.925,0.247,1.492,1.755,1.077,1.34,1.662,1.925,1.247,2.492,2.755,2.077,2.34,2.662,2.925
11,11,0.492,0.755,0.077,0.34,0.662,0.925,0.247,1.492,1.755,1.077,1.34,1.662,1.925,1.247,2.492,2.755,2.077,2.34,2.662,2.925
12,12,0.755,0.077,0.34,0.662,0.925,0.247,0.51,1.755,1.077,1.34,1.662,1.925,1.247,1.51,2.755,2.077,2.34,2.662,2.925,2.247
13,13,0.755,0.077,0.34,0.662,0.925,0.247,0.51,1.755,1.077,1.34,1.662,1.925,1.247,1.51,2.755,2.077,2.34,2.662,2.925,2.247
14,14,0.077,0.34,0.662,0.925,0.247,0.51,0.832,1.077,1.34,1.662,1.925,1.247,1.51,1.832,2.077,2.34,2.662,2.925,2.247,2.51
15,15,0.077,0.34,0.662,0.925,0.247,0.51,0.832,1.077,1.34,1.662,1.925,1.247,1.51,1.832,2.077,2.34,2.662,2.925,2.247,2.51
16,16,0.34,0.662,0.925,0.247,0.51,0.832,0.095,1.34,1.662,1.925,1.247,1.51,1.832,1.095,2.34,2.662,2.925,2.247,2.51,2.832
17,17,0.34,0.662,0.925,0.247,0.51,0.832,0.095,1.34,1.662,1.925,1.247,1.51,1.832,1.095,2.34,2.662,2.925,2.247,2.51,2.832
18,18,0.662,0.925,0.247,0.51,0.832,0.095,0.417,1.662,1.925,1.247,1.51,1.832,1.095,1.417,2.662,2.925,2.247,2.51,2.832,2.095
19,19,0.662,0.925,0.247,0.51,0.832,0.095,0.417,1.662,1.925,1.247,1.51,1.832,1.095,1.417,2.662,2.925,2.247,2.51,2.832,2.095
20,20,0.925,0.247,0.51,0.832,0.095,0.417,0.68,1.925,1.247,1.51,1.832,1.095,1.417,1.68,2.925,2.247,2.51,2.832,2.095,2.417
21,21,0.925,0.247,0.51,0.832,0.095,0.417,0.68,1.925,1.247,1.51,1.832,1.095,1.417,1.68,2.925,2.247,2.51,2.832,2.095,2.417
22,22,0.247,0.51,0.832,0.095,0.417,0.68,0.002,1.247,1.51,1.832,1.095,1.417,1.68,1.002,2.247,2.51,2.832,2.095,2.417,2.68
