###,p,4,6,1,3,5,7,2,#4,6,#1,3,#5,b7,b9,11,b13,1,b3,5,b7
0,0,0.415,0.737,0,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002
1,1,0.415,0.737,0,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002
2,2,0.737,0,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265
3,3,0.737,0,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265
4,4,0,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587
5,5,0,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587
6,6,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85
7,7,0.322,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85
8,8,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172
9,9,0.585,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172
10,10,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435
11,11,0.907,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435
12,12,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757
13,13,0.17,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757
14,14,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02
15,15,0.492,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02
16,16,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342
17,17,0.755,0.077,0.34,0.662,0.925,0.247,0.51,0.832,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342
