ticks,msecs,treb1,treb2,treb3,treb4,treb5,treb6,o/o 1,o/o 2,o/o 3,o/o 4,o/o 5,o/o 6,bass
1,1,0,0.583333333333333,0.166666666666667,0.333333333333333,0.916666666666667,0.5,1,1,0,1,1,0,-1
2,2,0,0.583333333333333,0.166666666666667,0.333333333333333,0.916666666666667,0.5,0,1,1,0,1,1,-0.416666666666667
3,3,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.916666666666667,0.5,1,1,0,1,1,0,-0.666666666666667
4,4,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.916666666666667,0.5,0,1,1,0,1,1,-0.083333333333333
5,5,0.583333333333333,0.166666666666667,0.75,0.916666666666667,0.5,0.083333333333333,1,1,0,1,1,0,-0.416666666666667
6,6,0.583333333333333,0.166666666666667,0.75,0.916666666666667,0.5,0.083333333333333,0,1,1,0,1,1,-0.833333333333333
7,7,0.166666666666667,0.75,0.333333333333333,0.916666666666667,0.5,0.083333333333333,1,1,0,1,1,0,-0.083333333333333
8,8,0.166666666666667,0.75,0.333333333333333,0.916666666666667,0.5,0.083333333333333,0,1,1,0,1,1,-0.5
9,9,0.166666666666667,0.75,0.333333333333333,0.5,0.083333333333333,0.666666666666667,1,1,0,1,1,0,-0.833333333333333
10,10,0.166666666666667,0.75,0.333333333333333,0.5,0.083333333333333,0.666666666666667,0,1,1,0,1,1,-0.25
11,11,0.75,0.333333333333333,0.916666666666667,0.5,0.083333333333333,0.666666666666667,1,1,0,1,1,0,-0.5
12,12,0.75,0.333333333333333,0.916666666666667,0.5,0.083333333333333,0.666666666666667,0,1,1,0,1,1,-0.916666666666667
13,13,0.75,0.333333333333333,0.916666666666667,0.083333333333333,0.666666666666667,0.25,1,1,0,1,1,0,-0.25
14,14,0.75,0.333333333333333,0.916666666666667,0.083333333333333,0.666666666666667,0.25,0,1,1,0,1,1,-0.666666666666667
15,15,0.333333333333333,0.916666666666667,0.5,0.083333333333333,0.666666666666667,0.25,1,1,0,1,1,0,-0.916666666666667
16,16,0.333333333333333,0.916666666666667,0.5,0.083333333333333,0.666666666666667,0.25,0,1,1,0,1,1,-0.333333333333333
17,17,0.333333333333333,0.916666666666667,0.5,0.666666666666667,0.25,0.833333333333333,1,1,0,1,1,0,-0.666666666666667
18,18,0.333333333333333,0.916666666666667,0.5,0.666666666666667,0.25,0.833333333333333,0,1,1,0,1,1,-0.083333333333333
19,19,0.916666666666667,0.5,0.083333333333333,0.666666666666667,0.25,0.833333333333333,1,1,0,1,1,0,-0.333333333333333
20,20,0.916666666666667,0.5,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0,1,1,0,1,1,-0.75
21,21,0.916666666666667,0.5,0.083333333333333,0.25,0.833333333333333,0.416666666666667,1,1,0,1,1,0,-0.083333333333333
22,22,0.916666666666667,0.5,0.083333333333333,0.25,0.833333333333333,0.416666666666667,0,1,1,0,1,1,-0.5
23,23,0.5,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,1,1,0,1,1,0,-0.75
24,24,0.5,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1,1,0,1,1,-0.166666666666667
