###,p,3/,/3,5/,/5,three,five,seven,nine,eleven,thirteen,quan,tize,bass,bass1,bass2,bass3,bass4,bass5,bass6,bass7
1,6,2.1,0.1,1.1,0.1,5,5,5,5,8,,,,,0,0.583333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.916666666666667,1.5
1.5,6,2.1,0.1,1.1,0.1,5,5,5,5,8,,,,,0,0.583333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.916666666666667,1.5
6,6,5.1,0.1,0.1,0.1,5,5,5,5,,5,,,,0,0.583333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.75,0.916666666666667
6.5,6,5.1,0.1,0.1,0.1,5,5,5,5,,5,,,,0,0.583333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.75,0.916666666666667
9,6,1.1,2.1,1.1,0.1,5,5,5,,5,5,,,,0,0.583333333333333,1.333,1.333,0.75,0.916666666666667,0.416666666666667
9.5,6,1.1,2.1,1.1,0.1,5,5,5,,5,5,,,,0,0.583333333333333,1.333,1.333,0.75,0.916666666666667,0.416666666666667
14,6,4.1,2.1,0.1,0.1,5,5,,5,5,5,,,,0,0.583333333333333,1.333,0.166666666666667,0.75,0.75,0.416666666666667
14.5,6,4.1,2.1,0.1,0.1,5,5,,5,5,5,,,,0,0.583333333333333,1.333,0.166666666666667,0.75,0.75,0.416666666666667
15,6,3.1,4.1,0.1,0.1,5,5,2,5,,5,,,,0,0.583333333333333,0.333333333333333,0.333333333333333,0.833333333333333,0.166666666666667,1.75
15.5,6,3.1,4.1,0.1,0.1,5,5,2,5,,5,,,,0,0.583333333333333,0.333333333333333,0.333333333333333,0.833333333333333,0.166666666666667,1.75
16,6,0.1,4.1,1.1,0.1,5,,2,5,5,5,,,,0,1.333,0.833333333333333,0.166666666666667,0.166666666666667,1.75,0.416666666666667
16.5,6,0.1,4.1,1.1,0.1,5,,2,5,5,5,,,,0,1.333,0.833333333333333,0.166666666666667,0.166666666666667,1.75,0.416666666666667
29,6,2.1,6.1,0.1,0.1,2,5,2,5,5,,,,,0,0.583333333333333,0.25,0.25,0.833333333333333,1.167,0.416666666666667
29.5,6,2.1,6.1,0.1,0.1,2,5,2,5,5,,,,,0,0.583333333333333,0.25,0.25,0.833333333333333,1.167,0.416666666666667
33,6,2.1,0.1,0.1,2.1,2,5,2,5,,2,,,,0,1.583,0.25,0.25,0.833333333333333,1.167,0.666666666666667
33.5,6,2.1,0.1,0.1,2.1,2,5,2,5,,2,,,,0,1.583,0.25,0.25,0.833333333333333,1.167,0.666666666666667
39,6,1.1,8.1,0.1,0.1,2,5,2,,5,2,,,,0,1.583,0.25,0.833333333333333,0.833333333333333,0.666666666666667,0.416666666666667
39.5,6,1.1,8.1,0.1,0.1,2,5,2,,5,2,,,,0,1.583,0.25,0.833333333333333,0.833333333333333,0.666666666666667,0.416666666666667
43,6,1.1,2.1,0.1,2.1,2,5,2,2,5,,,,,1,1.583,0.25,0.25,0.666666666666667,0.416666666666667,0.083333333333333
43.5,6,1.1,2.1,0.1,2.1,2,5,2,2,5,,,,,1,1.583,0.25,0.25,0.666666666666667,0.416666666666667,0.083333333333333
50,6,0.1,10.1,0.1,0.1,2,,2,2,5,2,,,,1,0.25,0.25,0.833333333333333,0.666666666666667,0.416666666666667,0.083333333333333
50.5,6,0.1,10.1,0.1,0.1,2,,2,2,5,2,,,,1,0.25,0.25,0.833333333333333,0.666666666666667,0.416666666666667,0.083333333333333
54,6,0.1,4.1,0.1,2.1,,2,2,2,5,2,,,,1,0.5,0.833333333333333,0.833333333333333,0.666666666666667,1.417,0.083333333333333
54.5,6,0.1,4.1,0.1,2.1,,2,2,2,5,2,,,,1,0.5,0.833333333333333,0.833333333333333,0.666666666666667,1.417,0.083333333333333
