###,p,3/,/3,5/,/5,19/,/19,quan,tize,bass,pitchs,quan,tize,them,bass1,bass2,bass3,bass4,bass5,bass6,bass7
0,0,2.1,0.1,1.1,0.1,0.1,0.1,,,,,,,,0,0.583333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.916666666666667,1.5
1,1,2.1,0.1,1.1,0.1,0.1,0.1,,,,,,,,0,0.583333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.916666666666667,1.5
2,2,5.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.333333333333333,0.916666666666667
3,3,5.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.333333333333333,0.916666666666667
4,4,1.1,2.1,1.1,0.1,0.1,0.1,,,,,,,,0.416666666666667,0,0.583333333333333,0.583333333333333,0.75,1.333,0.916666666666667
5,5,1.1,2.1,1.1,0.1,0.1,0.1,,,,,,,,0.416666666666667,0,0.583333333333333,0.583333333333333,0.75,1.333,0.916666666666667
6,6,4.1,2.1,0.1,0.1,0.1,0.1,,,,,,,,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,0.75,1.333
7,7,4.1,2.1,0.1,0.1,0.1,0.1,,,,,,,,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,0.75,1.333
8,8,3.1,4.1,0.1,0.1,0.1,0.1,,,,,,,,0.833333333333333,0,0,0.583333333333333,0.166666666666667,1.75,0.333333333333333
9,9,3.1,4.1,0.1,0.1,0.1,0.1,,,,,,,,0.833333333333333,0,0,0.583333333333333,0.166666666666667,1.75,0.333333333333333
10,10,0.1,4.1,1.1,0.1,0.1,0.1,,,,,,,,0.833333333333333,0.416666666666667,0,0.166666666666667,0.166666666666667,1.75,1.333
11,11,0.1,4.1,1.1,0.1,0.1,0.1,,,,,,,,0.833333333333333,0.416666666666667,0,0.166666666666667,0.166666666666667,1.75,1.333
12,12,2.1,6.1,0.1,0.1,0.1,0.1,,,,,,,,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,0.583333333333333,1.167
13,13,2.1,6.1,0.1,0.1,0.1,0.1,,,,,,,,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,0.583333333333333,1.167
14,14,2.1,0.1,0.1,2.1,0.1,0.1,,,,,,,,0.666666666666667,0.25,0.833333333333333,0,0,1.583,1.167
15,15,2.1,0.1,0.1,2.1,0.1,0.1,,,,,,,,0.666666666666667,0.25,0.833333333333333,0,0,1.583,1.167
16,16,1.1,8.1,0.1,0.1,0.1,0.1,,,,,,,,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.583
17,17,1.1,8.1,0.1,0.1,0.1,0.1,,,,,,,,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.583
18,18,1.1,2.1,0.1,2.1,0.1,0.1,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.416666666666667,0.416666666666667,1,1.583
19,19,1.1,2.1,0.1,2.1,0.1,0.1,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.416666666666667,0.416666666666667,1,1.583
20,20,0.1,10.1,0.1,0.1,0.1,0.1,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0.416666666666667,1
21,21,0.1,10.1,0.1,0.1,0.1,0.1,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0.416666666666667,1
22,22,0.1,4.1,0.1,2.1,0.1,0.1,,,,,,,,0.5,0.083333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1.417,1
23,23,0.1,4.1,0.1,2.1,0.1,0.1,,,,,,,,0.5,0.083333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1.417,1
