###,p,3/,/3,5/,/5,quan,tize,bass,pitchs,,,,,,bass1,bass2,bass3,bass4,bass5,bass6,bass7
11,5,4.1,0.1,0.1,0.1,,,,,,,,,,0,0.583333333333333,0.583333333333333,0.166666666666667,0.75,0.75,0.333333333333333
11.5,5,4.1,0.1,0.1,0.1,,,,,,,,,,0,0.583333333333333,0.583333333333333,0.166666666666667,0.75,0.75,0.333333333333333
20,5,3.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0,0.583333333333333,0.166666666666667,0.166666666666667,0.75
20.5,5,3.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0,0.583333333333333,0.166666666666667,0.166666666666667,0.75
28,5,2.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0.416666666666667,0.416666666666667,0,0.583333333333333,0.583333333333333,0.166666666666667
28.5,5,2.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0.416666666666667,0.416666666666667,0,0.583333333333333,0.583333333333333,0.166666666666667
37,5,1.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.833333333333333,0.833333333333333,0.416666666666667,0,0,0.583333333333333
37.5,5,1.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.833333333333333,0.833333333333333,0.416666666666667,0,0,0.583333333333333
48,5,0.1,8.1,0.1,0.1,,,,,,,,,,0.666666666666667,0.25,0.25,0.833333333333333,0.416666666666667,0.416666666666667,0
48.5,5,0.1,8.1,0.1,0.1,,,,,,,,,,0.666666666666667,0.25,0.25,0.833333333333333,0.416666666666667,0.416666666666667,0
