###,p,3/,/3,5/,/5,19/,/19,bass1,bass2,bass3,bass4,bass5,bass6,bass7,quan,tize,the ,bass,pitchs
1,6,2.1,0.1,1.1,0.1,0.1,0.1,0,0.583333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.916666666666667,1.5,,,,,
4,4,1.1,0.1,1.1,0.1,0.1,0.1,0,0.583333333333333,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.916666666666667,,,,,
5,6,2.1,0.1,0.1,0.1,0.1,2.1,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.333333333333333,0.916666666666667,,,,,
6,6,5.1,0.1,0.1,0.1,0.1,0.1,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.333333333333333,0.916666666666667,,,,,
9,6,1.1,2.1,1.1,0.1,0.1,0.1,0.416666666666667,0,0.583333333333333,0.583333333333333,0.75,1.333,0.916666666666667,,,,,
10,4,1.1,0.1,0.1,0.1,0.1,2.1,0,0.583333333333333,0.583333333333333,0.75,0.75,0.75,0.333333333333333,,,,,
11,5,4.1,0.1,0.1,0.1,0.1,0.1,0,0.583333333333333,0.583333333333333,0.166666666666667,0.75,0.75,0.333333333333333,,,,,
12,6,1.1,2.1,0.1,0.1,0.1,2.1,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,0.75,1.333,,,,,
13,4,0.1,2.1,1.1,0.1,0.1,0.1,0.416666666666667,0,0,0.75,0.75,0.75,1.333,,,,,
14,6,4.1,2.1,0.1,0.1,0.1,0.1,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,0.75,1.333,,,,,
15,6,3.1,4.1,0.1,0.1,0.1,0.1,0.833333333333333,0,0,0.583333333333333,0.166666666666667,1.75,0.333333333333333,,,,,
16,6,0.1,4.1,1.1,0.1,0.1,0.1,0.833333333333333,0.416666666666667,0,0.166666666666667,0.166666666666667,1.75,1.333,,,,,
19,4,3.1,0.1,0.1,0.1,0.1,0.1,0,0,0.583333333333333,0.583333333333333,0.166666666666667,0.166666666666667,0.75,,,,,
20,5,3.1,2.1,0.1,0.1,0.1,0.1,0.416666666666667,0,0,0.583333333333333,0.166666666666667,0.166666666666667,0.75,,,,,
21,4,0.1,2.1,0.1,0.1,0.1,2.1,0.416666666666667,0.416666666666667,0,0,0.166666666666667,0.166666666666667,0.75,,,,,
22,6,0.1,4.1,0.1,0.1,0.1,2.1,0.833333333333333,0.416666666666667,0,0.583333333333333,0.166666666666667,0.166666666666667,1.75,,,,,
27,4,2.1,2.1,0.1,0.1,0.1,0.1,0.416666666666667,0,0,0.583333333333333,0.583333333333333,0.166666666666667,0.166666666666667,,,,,
28,5,2.1,4.1,0.1,0.1,0.1,0.1,0.833333333333333,0.416666666666667,0.416666666666667,0,0.583333333333333,0.583333333333333,0.166666666666667,,,,,
29,6,2.1,6.1,0.1,0.1,0.1,0.1,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,0.583333333333333,1.167,,,,,
30,6,2.1,0.1,0.1,0.1,1.1,0.1,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,0.583333333333333,1.167,,,,,
33,6,2.1,0.1,0.1,2.1,0.1,0.1,0.666666666666667,0.25,0.833333333333333,0,0,1.583,1.167,,,,,
36,4,1.1,4.1,0.1,0.1,0.1,0.1,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0,0,0.583333333333333,,,,,
37,5,1.1,6.1,0.1,0.1,0.1,0.1,0.25,0.833333333333333,0.833333333333333,0.416666666666667,0,0,0.583333333333333,,,,,
38,4,1.1,0.1,0.1,0.1,1.1,0.1,0.25,0.25,0.833333333333333,0.833333333333333,0,0,0.583333333333333,,,,,
39,6,1.1,8.1,0.1,0.1,0.1,0.1,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.583,,,,,
40,4,1.1,0.1,0.1,2.1,0.1,0.1,0.666666666666667,0.666666666666667,0.25,0.25,0,0,1.583,,,,,
41,6,1.1,2.1,0.1,0.1,1.1,0.1,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,0,1.583,,,,,
43,6,1.1,2.1,0.1,2.1,0.1,0.1,0.083333333333333,0.666666666666667,0.25,0.416666666666667,0.416666666666667,1,1.583,,,,,
47,4,0.1,6.1,0.1,0.1,0.1,0.1,0.25,0.25,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0,,,,,
48,5,0.1,8.1,0.1,0.1,0.1,0.1,0.666666666666667,0.25,0.25,0.833333333333333,0.416666666666667,0.416666666666667,0,,,,,
49,4,0.1,2.1,0.1,0.1,1.1,0.1,0.666666666666667,0.25,0.25,0.25,0.416666666666667,0.416666666666667,0,,,,,
50,6,0.1,10.1,0.1,0.1,0.1,0.1,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0.416666666666667,1,,,,,
51,4,0.1,2.1,0.1,2.1,0.1,0.1,0.083333333333333,0.666666666666667,0.666666666666667,0.416666666666667,0.416666666666667,1,1,,,,,
52,6,0.1,4.1,0.1,0.1,1.1,0.1,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0.416666666666667,1,,,,,
54,6,0.1,4.1,0.1,2.1,0.1,0.1,0.5,0.083333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1.417,1,,,,,
