ticks,msecs,3/,/3,5/,/5,19/,/19
1,1,2.1,0.1,1.1,0.1,0.1,0.1
2,2,2.1,0.1,0.1,0.1,0.1,2.1
3,3,5.1,0.1,0.1,0.1,0.1,0.1
4,4,1.1,2.1,1.1,0.1,0.1,0.1
5,5,1.1,0.1,1.1,0.1,0.1,0.1
6,6,1.1,2.1,0.1,0.1,0.1,2.1
7,7,4.1,2.1,0.1,0.1,0.1,0.1
8,8,3.1,4.1,0.1,0.1,0.1,0.1
9,9,4.1,0.1,0.1,0.1,0.1,0.1
10,10,0.1,4.1,1.1,0.1,0.1,0.1
11,11,1.1,0.1,0.1,0.1,0.1,2.1
12,12,0.1,2.1,1.1,0.1,0.1,0.1
13,13,0.1,4.1,0.1,0.1,0.1,2.1
14,14,3.1,2.1,0.1,0.1,0.1,0.1
15,15,3.1,0.1,0.1,0.1,0.1,0.1
16,16,0.1,2.1,0.1,0.1,0.1,2.1
17,17,2.1,0.1,0.1,0.1,1.1,0.1
18,18,2.1,6.1,0.1,0.1,0.1,0.1
19,19,2.1,4.1,0.1,0.1,0.1,0.1
20,20,2.1,2.1,0.1,0.1,0.1,0.1
21,21,2.1,0.1,0.1,2.1,0.1,0.1
22,22,1.1,2.1,0.1,0.1,1.1,0.1
23,23,1.1,8.1,0.1,0.1,0.1,0.1
24,24,1.1,6.1,0.1,0.1,0.1,0.1
25,25,1.1,4.1,0.1,0.1,0.1,0.1
26,26,1.1,2.1,0.1,2.1,0.1,0.1
27,27,1.1,0.1,0.1,0.1,1.1,0.1
28,28,1.1,0.1,0.1,2.1,0.1,0.1
29,29,0.1,4.1,0.1,0.1,1.1,0.1
30,30,0.1,10.1,0.1,0.1,0.1,0.1
31,31,0.1,8.1,0.1,0.1,0.1,0.1
32,32,0.1,6.1,0.1,0.1,0.1,0.1
33,33,0.1,4.1,0.1,2.1,0.1,0.1
34,34,0.1,2.1,0.1,0.1,1.1,0.1
35,35,0.1,2.1,0.1,2.1,0.1,0.1
