ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,4,0,0,5.1,2.2,7.06666666666666
2,2,4,0.01,0,5.13,2.16,7.07
3,3,4,0.02,0,5.16,2.12,7.07333333333333
4,4,4,0.03,0,5.19,2.08,7.07666666666667
5,5,4,0.04,0,5.22,2.04,7.08
6,6,4,0.05,0,5.25,2,7.08333333333333
7,7,4,0.06,0,5.28,1.96,7.08666666666667
8,8,4,0.07,0,5.31,1.92,7.09
9,9,4,0.08,0,5.34,1.88,7.09333333333334
10,10,4,0.09,0,5.37,1.84,7.09666666666667
11,11,4,0.1,0,5.4,1.8,7.1
12,12,3.99,0.1,0,5.44,1.78,7.10166666666667
13,13,3.98,0.1,0,5.48,1.76,7.10333333333334
14,14,3.97,0.1,0,5.52,1.74,7.105
15,15,3.96,0.1,0,5.56,1.72,7.10666666666667
16,16,3.95,0.1,0,5.6,1.7,7.10833333333333
17,17,3.94,0.1,0,5.64,1.68,7.11
18,18,3.93,0.1,0,5.68,1.66,7.11166666666667
19,19,3.92,0.1,0,5.72,1.64,7.11333333333333
20,20,3.91,0.1,0,5.76,1.62,7.115
21,21,3.9,0.1,0,5.8,1.6,7.11666666666667
22,22,3.89,0.11,0,5.82,1.58,7.12
23,23,3.88,0.12,0,5.84,1.56,7.12333333333333
24,24,3.87,0.13,0,5.86,1.54,7.12666666666667
25,25,3.86,0.14,0,5.88,1.52,7.13
26,26,3.85,0.15,0,5.9,1.5,7.13333333333333
27,27,3.84,0.16,0,5.92,1.48,7.13666666666667
28,28,3.83,0.17,0,5.94,1.46,7.14
29,29,3.82,0.18,0,5.96,1.44,7.14333333333333
30,30,3.81,0.19,0,5.98,1.42,7.14666666666667
31,31,3.8,0.2,0,6,1.4,7.15
32,32,3.79,0.2,0,6.01,1.38,7.15166666666667
33,33,3.78,0.2,0,6.02,1.36,7.15333333333333
34,34,3.77,0.2,0,6.03,1.34,7.155
35,35,3.76,0.2,0,6.04,1.32,7.15666666666667
36,36,3.75,0.2,0,6.05,1.3,7.15833333333333
37,37,3.74,0.2,0,6.06,1.28,7.16
38,38,3.73,0.2,0,6.07,1.26,7.16166666666667
39,39,3.72,0.2,0,6.08,1.24,7.16333333333333
40,40,3.71,0.2,0,6.09,1.22,7.165
41,41,3.7,0.2,0,6.1,1.2,7.16666666666667
42,42,3.69,0.2,0,6.12,1.2,7.17166666666667
43,43,3.68,0.2,0,6.14,1.2,7.17666666666667
44,44,3.67,0.2,0,6.16,1.2,7.18166666666667
45,45,3.66,0.2,0,6.18,1.2,7.18666666666667
46,46,3.65,0.2,0,6.2,1.2,7.19166666666667
47,47,3.64,0.2,0,6.22,1.2,7.19666666666667
48,48,3.63,0.2,0,6.24,1.2,7.20166666666667
49,49,3.62,0.2,0,6.26,1.2,7.20666666666667
50,50,3.61,0.2,0,6.28,1.2,7.21166666666666
51,51,3.6,0.2,0,6.3,1.2,7.21666666666666
52,52,3.6,0.2,0,6.32,1.18,7.22
53,53,3.6,0.2,0,6.34,1.16,7.22333333333333
54,54,3.6,0.2,0,6.36,1.14,7.22666666666667
55,55,3.6,0.2,0,6.38,1.12,7.23
56,56,3.6,0.2,0,6.4,1.1,7.23333333333333
57,57,3.6,0.2,0,6.42,1.08,7.23666666666667
58,58,3.6,0.2,0,6.44,1.06,7.24
59,59,3.6,0.2,0,6.46,1.04,7.24333333333334
60,60,3.6,0.2,0,6.48,1.02,7.24666666666667
61,61,3.6,0.2,0,6.5,1,7.25
62,62,3.61,0.2,0.01,6.49,1,7.25333333333334
63,63,3.62,0.2,0.02,6.48,1,7.25666666666667
64,64,3.63,0.2,0.03,6.47,1,7.26
65,65,3.64,0.2,0.04,6.46,1,7.26333333333334
66,66,3.65,0.2,0.05,6.45,1,7.26666666666667
67,67,3.66,0.2,0.06,6.44,1,7.27
68,68,3.67,0.2,0.07,6.43,1,7.27333333333334
69,69,3.68,0.2,0.08,6.42,1,7.27666666666667
70,70,3.69,0.2,0.09,6.41,1,7.28
71,71,3.7,0.2,0.1,6.4,1,7.28333333333334
72,72,3.74,0.19,0.1,6.33,1,7.285
73,73,3.78,0.18,0.1,6.26,1,7.28666666666667
74,74,3.82,0.17,0.1,6.19,1,7.28833333333333
75,75,3.86,0.16,0.1,6.12,1,7.29
76,76,3.9,0.15,0.1,6.05,1,7.29166666666667
77,77,3.94,0.14,0.1,5.98,1,7.29333333333333
78,78,3.98,0.13,0.1,5.91,1,7.295
79,79,4.02,0.12,0.1,5.84,1,7.29666666666667
80,80,4.06,0.11,0.1,5.77,1,7.29833333333333
81,81,4.1,0.1,0.1,5.7,1,7.3
82,82,4.13,0.09,0.11,5.62,1,7.30166666666667
83,83,4.16,0.08,0.12,5.54,1,7.30333333333333
84,84,4.19,0.07,0.13,5.46,1,7.305
85,85,4.22,0.06,0.14,5.38,1,7.30666666666667
86,86,4.25,0.05,0.15,5.3,1,7.30833333333333
87,87,4.28,0.04,0.16,5.22,1,7.31
88,88,4.31,0.03,0.17,5.14,1,7.31166666666667
89,89,4.34,0.02,0.18,5.06,1,7.31333333333333
90,90,4.37,0.01,0.19,4.98,1,7.315
91,91,4.4,0,0.2,4.9,1,7.31666666666667
92,92,4.43,0,0.21,4.83,1,7.31666666666667
93,93,4.46,0,0.22,4.76,1,7.31666666666667
94,94,4.49,0,0.23,4.69,1,7.31666666666667
95,95,4.52,0,0.24,4.62,1,7.31666666666667
96,96,4.55,0,0.25,4.55,1,7.31666666666667
97,97,4.58,0,0.26,4.48,1,7.31666666666667
98,98,4.61,0,0.27,4.41,1,7.31666666666667
99,99,4.64,0,0.28,4.34,1,7.31666666666667
100,100,4.67,0,0.29,4.27,1,7.31666666666667
101,101,4.7,0,0.3,4.2,1,7.31666666666667
102,102,4.73,0,0.33,4.17,1.04,7.31666666666667
103,103,4.76,0,0.36,4.14,1.08,7.31666666666667
104,104,4.79,0,0.39,4.11,1.12,7.31666666666667
