ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,7.9,5.3,6.1,8.9,0.6,6.4
2,2,7.9,5.27,6.17,8.9,0.6,6.39666666666667
3,3,7.9,5.24,6.24,8.9,0.6,6.39333333333333
4,4,7.9,5.21,6.31,8.9,0.6,6.39
5,5,7.9,5.18,6.38,8.9,0.6,6.38666666666667
6,6,7.9,5.15,6.45,8.9,0.6,6.38333333333333
7,7,7.9,5.12,6.52,8.9,0.6,6.38
8,8,7.9,5.09,6.59,8.9,0.6,6.37666666666667
9,9,7.9,5.06,6.66,8.9,0.6,6.37333333333333
10,10,7.9,5.03,6.73,8.9,0.6,6.37
11,11,7.9,5,6.8,8.9,0.6,6.36666666666667
12,12,7.9,5.07,6.86,8.9,0.58,6.36333333333333
13,13,7.9,5.14,6.92,8.9,0.56,6.36
14,14,7.9,5.21,6.98,8.9,0.54,6.35666666666667
15,15,7.9,5.28,7.04,8.9,0.52,6.35333333333333
16,16,7.9,5.35,7.1,8.9,0.5,6.35
17,17,7.9,5.42,7.16,8.9,0.48,6.34666666666667
18,18,7.9,5.49,7.22,8.9,0.46,6.34333333333333
19,19,7.9,5.56,7.28,8.9,0.44,6.34
20,20,7.9,5.63,7.34,8.9,0.42,6.33666666666667
21,21,7.9,5.7,7.4,8.9,0.4,6.33333333333334
22,22,7.9,5.73,7.46,8.9,0.44,6.33333333333334
23,23,7.9,5.76,7.52,8.9,0.48,6.33333333333334
24,24,7.9,5.79,7.58,8.9,0.52,6.33333333333334
25,25,7.9,5.82,7.64,8.9,0.56,6.33333333333334
26,26,7.9,5.85,7.7,8.9,0.6,6.33333333333334
27,27,7.9,5.88,7.76,8.9,0.64,6.33333333333334
28,28,7.9,5.91,7.82,8.9,0.68,6.33333333333334
29,29,7.9,5.94,7.88,8.9,0.72,6.33333333333334
30,30,7.9,5.97,7.94,8.9,0.76,6.33333333333334
31,31,7.9,6,8,8.9,0.8,6.33333333333334
32,32,7.9,5.94,7.99,8.91,0.78,6.33333333333334
33,33,7.9,5.88,7.98,8.92,0.76,6.33333333333334
34,34,7.9,5.82,7.97,8.93,0.74,6.33333333333334
35,35,7.9,5.76,7.96,8.94,0.72,6.33333333333334
36,36,7.9,5.7,7.95,8.95,0.7,6.33333333333334
37,37,7.9,5.64,7.94,8.96,0.68,6.33333333333334
38,38,7.9,5.58,7.93,8.97,0.66,6.33333333333334
39,39,7.9,5.52,7.92,8.98,0.64,6.33333333333334
40,40,7.9,5.46,7.91,8.99,0.62,6.33333333333334
41,41,7.9,5.4,7.9,9,0.6,6.33333333333334
42,42,7.89,5.44,7.89,9.01,0.62,6.335
43,43,7.88,5.48,7.88,9.02,0.64,6.33666666666667
44,44,7.87,5.52,7.87,9.03,0.66,6.33833333333333
45,45,7.86,5.56,7.86,9.04,0.68,6.34
46,46,7.85,5.6,7.85,9.05,0.7,6.34166666666667
47,47,7.84,5.64,7.84,9.06,0.72,6.34333333333333
48,48,7.83,5.68,7.83,9.07,0.74,6.345
49,49,7.82,5.72,7.82,9.08,0.76,6.34666666666667
50,50,7.81,5.76,7.81,9.09,0.78,6.34833333333333
