ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,5.3,7,9.5,9.6,0.4,6.56666666666667
2,2,5.29,6.97,9.5,9.6,0.4,6.565
3,3,5.28,6.94,9.5,9.6,0.4,6.56333333333334
4,4,5.27,6.91,9.5,9.6,0.4,6.56166666666667
5,5,5.26,6.88,9.5,9.6,0.4,6.56
6,6,5.25,6.85,9.5,9.6,0.4,6.55833333333333
7,7,5.24,6.82,9.5,9.6,0.4,6.55666666666667
8,8,5.23,6.79,9.5,9.6,0.4,6.555
9,9,5.22,6.76,9.5,9.6,0.4,6.55333333333333
10,10,5.21,6.73,9.5,9.6,0.4,6.55166666666667
11,11,5.2,6.7,9.5,9.6,0.4,6.55
12,12,5.2,6.65,9.49,9.59,0.4,6.54666666666667
13,13,5.2,6.6,9.48,9.58,0.4,6.54333333333333
14,14,5.2,6.55,9.47,9.57,0.4,6.54
15,15,5.2,6.5,9.46,9.56,0.4,6.53666666666667
16,16,5.2,6.45,9.45,9.55,0.4,6.53333333333333
17,17,5.2,6.4,9.44,9.54,0.4,6.53
18,18,5.2,6.35,9.43,9.53,0.4,6.52666666666667
19,19,5.2,6.3,9.42,9.52,0.4,6.52333333333333
20,20,5.2,6.25,9.41,9.51,0.4,6.52
21,21,5.2,6.2,9.4,9.5,0.4,6.51666666666667
22,22,5.2,6.19,9.39,9.5,0.4,6.515
23,23,5.2,6.18,9.38,9.5,0.4,6.51333333333333
24,24,5.2,6.17,9.37,9.5,0.4,6.51166666666667
25,25,5.2,6.16,9.36,9.5,0.4,6.51
26,26,5.2,6.15,9.35,9.5,0.4,6.50833333333333
27,27,5.2,6.14,9.34,9.5,0.4,6.50666666666667
28,28,5.2,6.13,9.33,9.5,0.4,6.505
29,29,5.2,6.12,9.32,9.5,0.4,6.50333333333333
30,30,5.2,6.11,9.31,9.5,0.4,6.50166666666667
31,31,5.2,6.1,9.3,9.5,0.4,6.5
32,32,5.19,6.01,9.28,9.5,0.4,6.5
33,33,5.18,5.92,9.26,9.5,0.4,6.5
34,34,5.17,5.83,9.24,9.5,0.4,6.5
35,35,5.16,5.74,9.22,9.5,0.4,6.5
36,36,5.15,5.65,9.2,9.5,0.4,6.5
37,37,5.14,5.56,9.18,9.5,0.4,6.5
38,38,5.13,5.47,9.16,9.5,0.4,6.5
39,39,5.12,5.38,9.14,9.5,0.4,6.5
40,40,5.11,5.29,9.12,9.5,0.4,6.5
41,41,5.1,5.2,9.1,9.5,0.4,6.5
42,42,5.1,5.08,9.08,9.51,0.4,6.5
43,43,5.1,4.96,9.06,9.52,0.4,6.5
44,44,5.1,4.84,9.04,9.53,0.4,6.5
45,45,5.1,4.72,9.02,9.54,0.4,6.5
46,46,5.1,4.6,9,9.55,0.4,6.5
47,47,5.1,4.48,8.98,9.56,0.4,6.5
48,48,5.1,4.36,8.96,9.57,0.4,6.5
49,49,5.1,4.24,8.94,9.58,0.4,6.5
50,50,5.1,4.12,8.92,9.59,0.4,6.5
51,51,5.1,4,8.9,9.6,0.4,6.5
52,52,5.1,3.96,8.88,9.58,0.38,6.505
53,53,5.1,3.92,8.86,9.56,0.36,6.51
54,54,5.1,3.88,8.84,9.54,0.34,6.515
55,55,5.1,3.84,8.82,9.52,0.32,6.52
56,56,5.1,3.8,8.8,9.5,0.3,6.525
57,57,5.1,3.76,8.78,9.48,0.28,6.53
58,58,5.1,3.72,8.76,9.46,0.26,6.535
59,59,5.1,3.68,8.74,9.44,0.24,6.54
60,60,5.1,3.64,8.72,9.42,0.22,6.545
61,61,5.1,3.6,8.7,9.4,0.2,6.55
62,62,5.11,3.55,8.67,9.42,0.22,6.55166666666667
63,63,5.12,3.5,8.64,9.44,0.24,6.55333333333333
64,64,5.13,3.45,8.61,9.46,0.26,6.555
65,65,5.14,3.4,8.58,9.48,0.28,6.55666666666667
66,66,5.15,3.35,8.55,9.5,0.3,6.55833333333333
67,67,5.16,3.3,8.52,9.52,0.32,6.56
68,68,5.17,3.25,8.49,9.54,0.34,6.56166666666667
69,69,5.18,3.2,8.46,9.56,0.36,6.56333333333334
70,70,5.19,3.15,8.43,9.58,0.38,6.565
71,71,5.2,3.1,8.4,9.6,0.4,6.56666666666667
72,72,5.23,3.16,8.37,9.51,0.4,6.56833333333334
73,73,5.26,3.22,8.34,9.42,0.4,6.57
74,74,5.29,3.28,8.31,9.33,0.4,6.57166666666667
75,75,5.32,3.34,8.28,9.24,0.4,6.57333333333333
76,76,5.35,3.4,8.25,9.15,0.4,6.575
77,77,5.38,3.46,8.22,9.06,0.4,6.57666666666667
78,78,5.41,3.52,8.19,8.97,0.4,6.57833333333333
79,79,5.44,3.58,8.16,8.88,0.4,6.58
80,80,5.47,3.64,8.13,8.79,0.4,6.58166666666667
81,81,5.5,3.7,8.1,8.7,0.4,6.58333333333333
82,82,5.53,3.77,8.05,8.62,0.4,6.58166666666667
83,83,5.56,3.84,8,8.54,0.4,6.58
84,84,5.59,3.91,7.95,8.46,0.4,6.57833333333333
85,85,5.62,3.98,7.9,8.38,0.4,6.57666666666667
86,86,5.65,4.05,7.85,8.3,0.4,6.575
87,87,5.68,4.12,7.8,8.22,0.4,6.57333333333333
88,88,5.71,4.19,7.75,8.14,0.4,6.57166666666667
89,89,5.74,4.26,7.7,8.06,0.4,6.57
90,90,5.77,4.33,7.65,7.98,0.4,6.56833333333334
91,91,5.8,4.4,7.6,7.9,0.4,6.56666666666667
92,92,5.83,4.7,7.59,7.82,0.42,6.56333333333334
93,93,5.86,5,7.58,7.74,0.44,6.56
94,94,5.89,5.3,7.57,7.66,0.46,6.55666666666667
95,95,5.92,5.6,7.56,7.58,0.48,6.55333333333334
96,96,5.95,5.9,7.55,7.5,0.5,6.55
97,97,5.98,6.2,7.54,7.42,0.52,6.54666666666667
98,98,6.01,6.5,7.53,7.34,0.54,6.54333333333334
99,99,6.04,6.8,7.52,7.26,0.56,6.54
100,100,6.07,7.1,7.51,7.18,0.58,6.53666666666667
101,101,6.1,7.4,7.5,7.1,0.6,6.53333333333334
102,102,6.11,7.51,7.57,7.05,0.64,6.53
103,103,6.12,7.62,7.64,7,0.68,6.52666666666667
104,104,6.13,7.73,7.71,6.95,0.72,6.52333333333334
105,105,6.14,7.84,7.78,6.9,0.76,6.52
106,106,6.15,7.95,7.85,6.85,0.8,6.51666666666667
107,107,6.16,8.06,7.92,6.8,0.84,6.51333333333333
108,108,6.17,8.17,7.99,6.75,0.88,6.51
109,109,6.18,8.28,8.06,6.7,0.92,6.50666666666667
110,110,6.19,8.39,8.13,6.65,0.96,6.50333333333333
111,111,6.2,8.5,8.2,6.6,1,6.5
112,112,6.2,8.55,8.25,6.58,1.02,6.49666666666667
113,113,6.2,8.6,8.3,6.56,1.04,6.49333333333333
114,114,6.2,8.65,8.35,6.54,1.06,6.49
115,115,6.2,8.7,8.4,6.52,1.08,6.48666666666666
116,116,6.2,8.75,8.45,6.5,1.1,6.48333333333333
117,117,6.2,8.8,8.5,6.48,1.12,6.48
118,118,6.2,8.85,8.55,6.46,1.14,6.47666666666667
119,119,6.2,8.9,8.6,6.44,1.16,6.47333333333333
120,120,6.2,8.95,8.65,6.42,1.18,6.47
121,121,6.2,9,8.7,6.4,1.2,6.46666666666667
122,122,6.19,9.08,8.74,6.43,1.24,6.46333333333333
123,123,6.18,9.16,8.78,6.46,1.28,6.46
124,124,6.17,9.24,8.82,6.49,1.32,6.45666666666667
125,125,6.16,9.32,8.86,6.52,1.36,6.45333333333333
126,126,6.15,9.4,8.9,6.55,1.4,6.45
127,127,6.14,9.48,8.94,6.58,1.44,6.44666666666667
128,128,6.13,9.56,8.98,6.61,1.48,6.44333333333333
129,129,6.12,9.64,9.02,6.64,1.52,6.44
130,130,6.11,9.72,9.06,6.67,1.56,6.43666666666667
131,131,6.1,9.8,9.1,6.7,1.6,6.43333333333333
132,132,6.09,8.92,9.13,6.74,1.62,6.43
133,133,6.08,8.04,9.16,6.78,1.64,6.42666666666667
134,134,6.07,7.16,9.19,6.82,1.66,6.42333333333333
135,135,6.06,6.28,9.22,6.86,1.68,6.42
136,136,6.05,5.4,9.25,6.9,1.7,6.41666666666667
137,137,6.04,4.52,9.28,6.94,1.72,6.41333333333333
138,138,6.03,3.64,9.31,6.98,1.74,6.41
139,139,6.02,2.76,9.34,7.02,1.76,6.40666666666667
140,140,6.01,1.88,9.37,7.06,1.78,6.40333333333333
141,141,6,1,9.4,7.1,1.8,6.4
142,142,5.99,1,9.42,7.15,1.8,6.39833333333333
143,143,5.98,1,9.44,7.2,1.8,6.39666666666667
144,144,5.97,1,9.46,7.25,1.8,6.395
145,145,5.96,1,9.48,7.3,1.8,6.39333333333333
146,146,5.95,1,9.5,7.35,1.8,6.39166666666667
147,147,5.94,1,9.52,7.4,1.8,6.39
148,148,5.93,1,9.54,7.45,1.8,6.38833333333333
149,149,5.92,1,9.56,7.5,1.8,6.38666666666667
150,150,5.91,1,9.58,7.55,1.8,6.385
151,151,5.9,1,9.6,7.6,1.8,6.38333333333333
152,152,5.89,1.89,9.62,7.62,1.78,6.38333333333333
153,153,5.88,2.78,9.64,7.64,1.76,6.38333333333333
154,154,5.87,3.67,9.66,7.66,1.74,6.38333333333333
155,155,5.86,4.56,9.68,7.68,1.72,6.38333333333333
156,156,5.85,5.45,9.7,7.7,1.7,6.38333333333333
157,157,5.84,6.34,9.72,7.72,1.68,6.38333333333333
158,158,5.83,7.23,9.74,7.74,1.66,6.38333333333333
159,159,5.82,8.12,9.76,7.76,1.64,6.38333333333333
160,160,5.81,9.01,9.78,7.78,1.62,6.38333333333333
161,161,5.8,9.9,9.8,7.8,1.6,6.38333333333333
162,162,5.79,9.88,9.8,7.83,1.6,6.38666666666667
163,163,5.78,9.86,9.8,7.86,1.6,6.39
164,164,5.77,9.84,9.8,7.89,1.6,6.39333333333333
165,165,5.76,9.82,9.8,7.92,1.6,6.39666666666667
166,166,5.75,9.8,9.8,7.95,1.6,6.4
167,167,5.74,9.78,9.8,7.98,1.6,6.40333333333333
168,168,5.73,9.76,9.8,8.01,1.6,6.40666666666667
169,169,5.72,9.74,9.8,8.04,1.6,6.41
170,170,5.71,9.72,9.8,8.07,1.6,6.41333333333334
171,171,5.7,9.7,9.8,8.1,1.6,6.41666666666667
172,172,5.68,8.83,9.8,8.16,1.58,6.42166666666667
173,173,5.66,7.96,9.8,8.22,1.56,6.42666666666667
174,174,5.64,7.09,9.8,8.28,1.54,6.43166666666667
175,175,5.62,6.22,9.8,8.34,1.52,6.43666666666667
176,176,5.6,5.35,9.8,8.4,1.5,6.44166666666667
177,177,5.58,4.48,9.8,8.46,1.48,6.44666666666667
178,178,5.56,3.61,9.8,8.52,1.46,6.45166666666667
179,179,5.54,2.74,9.8,8.58,1.44,6.45666666666667
180,180,5.52,1.87,9.8,8.64,1.42,6.46166666666667
181,181,5.5,1,9.8,8.7,1.4,6.46666666666667
182,182,5.49,1.87,9.8,8.74,1.38,6.47166666666667
183,183,5.48,2.74,9.8,8.78,1.36,6.47666666666667
184,184,5.47,3.61,9.8,8.82,1.34,6.48166666666667
185,185,5.46,4.48,9.8,8.86,1.32,6.48666666666667
186,186,5.45,5.35,9.8,8.9,1.3,6.49166666666667
187,187,5.44,6.22,9.8,8.94,1.28,6.49666666666667
188,188,5.43,7.09,9.8,8.98,1.26,6.50166666666667
189,189,5.42,7.96,9.8,9.02,1.24,6.50666666666667
190,190,5.41,8.83,9.8,9.06,1.22,6.51166666666667
191,191,5.4,9.7,9.8,9.1,1.2,6.51666666666667
192,192,5.39,9.69,9.79,9.13,1.18,6.52166666666667
193,193,5.38,9.68,9.78,9.16,1.16,6.52666666666667
194,194,5.37,9.67,9.77,9.19,1.14,6.53166666666667
195,195,5.36,9.66,9.76,9.22,1.12,6.53666666666667
196,196,5.35,9.65,9.75,9.25,1.1,6.54166666666667
197,197,5.34,9.64,9.74,9.28,1.08,6.54666666666667
198,198,5.33,9.63,9.73,9.31,1.06,6.55166666666667
199,199,5.32,9.62,9.72,9.34,1.04,6.55666666666667
200,200,5.31,9.61,9.71,9.37,1.02,6.56166666666667
201,201,5.3,9.6,9.7,9.4,1,6.56666666666667
202,202,5.29,9.62,9.7,9.41,0.98,6.57166666666667
203,203,5.28,9.64,9.7,9.42,0.96,6.57666666666667
204,204,5.27,9.66,9.7,9.43,0.94,6.58166666666667
205,205,5.26,9.68,9.7,9.44,0.92,6.58666666666667
206,206,5.25,9.7,9.7,9.45,0.9,6.59166666666667
207,207,5.24,9.72,9.7,9.46,0.88,6.59666666666667
208,208,5.23,9.74,9.7,9.47,0.86,6.60166666666667
209,209,5.22,9.76,9.7,9.48,0.84,6.60666666666667
210,210,5.21,9.78,9.7,9.49,0.82,6.61166666666667
211,211,5.2,9.8,9.7,9.5,0.8,6.61666666666667
212,212,5.2,9.68,9.69,9.51,0.78,6.62
213,213,5.2,9.56,9.68,9.52,0.76,6.62333333333333
214,214,5.2,9.44,9.67,9.53,0.74,6.62666666666667
215,215,5.2,9.32,9.66,9.54,0.72,6.63
216,216,5.2,9.2,9.65,9.55,0.7,6.63333333333333
217,217,5.2,9.08,9.64,9.56,0.68,6.63666666666667
218,218,5.2,8.96,9.63,9.57,0.66,6.64
219,219,5.2,8.84,9.62,9.58,0.64,6.64333333333333
220,220,5.2,8.72,9.61,9.59,0.62,6.64666666666667
221,221,5.2,8.6,9.6,9.6,0.6,6.65
222,222,5.2,8.49,9.6,9.61,0.6,6.65
223,223,5.2,8.38,9.6,9.62,0.6,6.65
224,224,5.2,8.27,9.6,9.63,0.6,6.65
225,225,5.2,8.16,9.6,9.64,0.6,6.65
226,226,5.2,8.05,9.6,9.65,0.6,6.65
227,227,5.2,7.94,9.6,9.66,0.6,6.65
228,228,5.2,7.83,9.6,9.67,0.6,6.65
229,229,5.2,7.72,9.6,9.68,0.6,6.65
230,230,5.2,7.61,9.6,9.69,0.6,6.65
231,231,5.2,7.5,9.6,9.7,0.6,6.65
232,232,5.2,7.53,9.64,9.69,0.58,6.64833333333333
233,233,5.2,7.56,9.68,9.68,0.56,6.64666666666667
234,234,5.2,7.59,9.72,9.67,0.54,6.645
235,235,5.2,7.62,9.76,9.66,0.52,6.64333333333333
236,236,5.2,7.65,9.8,9.65,0.5,6.64166666666667
237,237,5.2,7.68,9.84,9.64,0.48,6.64
238,238,5.2,7.71,9.88,9.63,0.46,6.63833333333333
239,239,5.2,7.74,9.92,9.62,0.44,6.63666666666667
240,240,5.2,7.77,9.96,9.61,0.42,6.635
