ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,4,0,0.2,5.1,2.2,7.06666666666666
2,2,3.99,0.01,0.19,5.13,2.16,7.07
3,3,3.98,0.02,0.18,5.16,2.12,7.07333333333333
4,4,3.97,0.03,0.17,5.19,2.08,7.07666666666667
5,5,3.96,0.04,0.16,5.22,2.04,7.08
6,6,3.95,0.05,0.15,5.25,2,7.08333333333333
7,7,3.94,0.06,0.14,5.28,1.96,7.08666666666667
8,8,3.93,0.07,0.13,5.31,1.92,7.09
9,9,3.92,0.08,0.12,5.34,1.88,7.09333333333334
10,10,3.91,0.09,0.11,5.37,1.84,7.09666666666667
11,11,3.9,0.1,0.1,5.4,1.8,7.1
12,12,3.9,0.1,0.09,5.43,1.78,7.10166666666667
13,13,3.9,0.1,0.08,5.46,1.76,7.10333333333334
14,14,3.9,0.1,0.07,5.49,1.74,7.105
15,15,3.9,0.1,0.06,5.52,1.72,7.10666666666667
16,16,3.9,0.1,0.05,5.55,1.7,7.10833333333333
17,17,3.9,0.1,0.04,5.58,1.68,7.11
18,18,3.9,0.1,0.03,5.61,1.66,7.11166666666667
19,19,3.9,0.1,0.02,5.64,1.64,7.11333333333333
20,20,3.9,0.1,0.01,5.67,1.62,7.115
21,21,3.9,0.1,0,5.7,1.6,7.11666666666667
22,22,3.89,0.11,0,5.72,1.58,7.12
23,23,3.88,0.12,0,5.74,1.56,7.12333333333333
24,24,3.87,0.13,0,5.76,1.54,7.12666666666667
25,25,3.86,0.14,0,5.78,1.52,7.13
26,26,3.85,0.15,0,5.8,1.5,7.13333333333333
27,27,3.84,0.16,0,5.82,1.48,7.13666666666667
28,28,3.83,0.17,0,5.84,1.46,7.14
29,29,3.82,0.18,0,5.86,1.44,7.14333333333333
30,30,3.81,0.19,0,5.88,1.42,7.14666666666667
31,31,3.8,0.2,0,5.9,1.4,7.15
32,32,3.79,0.2,0,5.92,1.4,7.15333333333333
33,33,3.78,0.2,0,5.94,1.4,7.15666666666667
34,34,3.77,0.2,0,5.96,1.4,7.16
