ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,2.2,6.1,9.8,8,2.4,6.18333333333334
2,2,2.2,6.14,9.82,8,2.4,6.18
3,3,2.2,6.18,9.84,8,2.4,6.17666666666667
4,4,2.2,6.22,9.86,8,2.4,6.17333333333334
5,5,2.2,6.26,9.88,8,2.4,6.17
6,6,2.2,6.3,9.9,8,2.4,6.16666666666667
7,7,2.2,6.34,9.92,8,2.4,6.16333333333334
8,8,2.2,6.38,9.94,8,2.4,6.16
9,9,2.2,6.42,9.96,8,2.4,6.15666666666667
10,10,2.2,6.46,9.98,8,2.4,6.15333333333334
11,11,2.2,6.5,10,8,2.4,6.15
12,12,2.2,6.53,10,8.01,2.4,6.14666666666667
13,13,2.2,6.56,10,8.02,2.4,6.14333333333334
14,14,2.2,6.59,10,8.03,2.4,6.14
15,15,2.2,6.62,10,8.04,2.4,6.13666666666667
16,16,2.2,6.65,10,8.05,2.4,6.13333333333334
17,17,2.2,6.68,10,8.06,2.4,6.13
18,18,2.2,6.71,10,8.07,2.4,6.12666666666667
19,19,2.2,6.74,10,8.08,2.4,6.12333333333334
20,20,2.2,6.77,10,8.09,2.4,6.12
21,21,2.2,6.8,10,8.1,2.4,6.11666666666667
22,22,2.2,6.84,9.97,8.08,2.38,6.115
23,23,2.2,6.88,9.94,8.06,2.36,6.11333333333334
24,24,2.2,6.92,9.91,8.04,2.34,6.11166666666667
25,25,2.2,6.96,9.88,8.02,2.32,6.11
26,26,2.2,7,9.85,8,2.3,6.10833333333334
27,27,2.2,7.04,9.82,7.98,2.28,6.10666666666667
28,28,2.2,7.08,9.79,7.96,2.26,6.105
29,29,2.2,7.12,9.76,7.94,2.24,6.10333333333333
30,30,2.2,7.16,9.73,7.92,2.22,6.10166666666667
31,31,2.2,7.2,9.7,7.9,2.2,6.1
32,32,2.21,7.18,9.7,7.88,2.18,6.09833333333333
33,33,2.22,7.16,9.7,7.86,2.16,6.09666666666667
34,34,2.23,7.14,9.7,7.84,2.14,6.095
35,35,2.24,7.12,9.7,7.82,2.12,6.09333333333333
36,36,2.25,7.1,9.7,7.8,2.1,6.09166666666667
37,37,2.26,7.08,9.7,7.78,2.08,6.09
38,38,2.27,7.06,9.7,7.76,2.06,6.08833333333333
39,39,2.28,7.04,9.7,7.74,2.04,6.08666666666667
40,40,2.29,7.02,9.7,7.72,2.02,6.085
41,41,2.3,7,9.7,7.7,2,6.08333333333333
42,42,2.3,6.89,9.69,7.7,2.02,6.08166666666667
43,43,2.3,6.78,9.68,7.7,2.04,6.08
44,44,2.3,6.67,9.67,7.7,2.06,6.07833333333333
45,45,2.3,6.56,9.66,7.7,2.08,6.07666666666667
46,46,2.3,6.45,9.65,7.7,2.1,6.075
47,47,2.3,6.34,9.64,7.7,2.12,6.07333333333333
48,48,2.3,6.23,9.63,7.7,2.14,6.07166666666667
49,49,2.3,6.12,9.62,7.7,2.16,6.07
50,50,2.3,6.01,9.61,7.7,2.18,6.06833333333333
51,51,2.3,5.9,9.6,7.7,2.2,6.06666666666667
52,52,2.3,5.86,9.59,7.72,2.18,6.06666666666667
53,53,2.3,5.82,9.58,7.74,2.16,6.06666666666667
54,54,2.3,5.78,9.57,7.76,2.14,6.06666666666667
55,55,2.3,5.74,9.56,7.78,2.12,6.06666666666667
56,56,2.3,5.7,9.55,7.8,2.1,6.06666666666667
57,57,2.3,5.66,9.54,7.82,2.08,6.06666666666667
58,58,2.3,5.62,9.53,7.84,2.06,6.06666666666667
59,59,2.3,5.58,9.52,7.86,2.04,6.06666666666667
60,60,2.3,5.54,9.51,7.88,2.02,6.06666666666667
61,61,2.3,5.5,9.5,7.9,2,6.06666666666667
62,62,2.3,5.39,9.48,7.9,2,6.06833333333333
63,63,2.3,5.28,9.46,7.9,2,6.07
64,64,2.3,5.17,9.44,7.9,2,6.07166666666667
65,65,2.3,5.06,9.42,7.9,2,6.07333333333333
66,66,2.3,4.95,9.4,7.9,2,6.075
67,67,2.3,4.84,9.38,7.9,2,6.07666666666667
68,68,2.3,4.73,9.36,7.9,2,6.07833333333333
69,69,2.3,4.62,9.34,7.9,2,6.08
70,70,2.3,4.51,9.32,7.9,2,6.08166666666667
71,71,2.3,4.4,9.3,7.9,2,6.08333333333333
72,72,2.31,4.12,9.24,7.89,1.98,6.085
73,73,2.32,3.84,9.18,7.88,1.96,6.08666666666667
74,74,2.33,3.56,9.12,7.87,1.94,6.08833333333333
75,75,2.34,3.28,9.06,7.86,1.92,6.09
76,76,2.35,3,9,7.85,1.9,6.09166666666667
77,77,2.36,2.72,8.94,7.84,1.88,6.09333333333333
78,78,2.37,2.44,8.88,7.83,1.86,6.095
79,79,2.38,2.16,8.82,7.82,1.84,6.09666666666667
80,80,2.39,1.88,8.76,7.81,1.82,6.09833333333333
81,81,2.4,1.6,8.7,7.8,1.8,6.1
82,82,2.4,1.55,8.57,7.79,1.8,6.10333333333333
83,83,2.4,1.5,8.44,7.78,1.8,6.10666666666667
84,84,2.4,1.45,8.31,7.77,1.8,6.11
85,85,2.4,1.4,8.18,7.76,1.8,6.11333333333333
