ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,6.5,0,0,1.3,1,6.56666666666667
2,2,6.49,0,0,1.31,1,6.565
3,3,6.48,0,0,1.32,1,6.56333333333334
4,4,6.47,0,0,1.33,1,6.56166666666667
5,5,6.46,0,0,1.34,1,6.56
6,6,6.45,0,0,1.35,1,6.55833333333333
7,7,6.44,0,0,1.36,1,6.55666666666667
8,8,6.43,0,0,1.37,1,6.555
9,9,6.42,0,0,1.38,1,6.55333333333333
10,10,6.41,0,0,1.39,1,6.55166666666667
11,11,6.4,0,0,1.4,1,6.55
12,12,6.38,0,0,1.4,1,6.55
13,13,6.36,0,0,1.4,1,6.55
14,14,6.34,0,0,1.4,1,6.55
15,15,6.32,0,0,1.4,1,6.55
16,16,6.3,0,0,1.4,1,6.55
17,17,6.28,0,0,1.4,1,6.55
18,18,6.26,0,0,1.4,1,6.55
19,19,6.24,0,0,1.4,1,6.55
20,20,6.22,0,0,1.4,1,6.55
21,21,6.2,0,0,1.4,1,6.55
22,22,6.19,0,0,1.4,1,6.54833333333333
23,23,6.18,0,0,1.4,1,6.54666666666667
24,24,6.17,0,0,1.4,1,6.545
25,25,6.16,0,0,1.4,1,6.54333333333334
26,26,6.15,0,0,1.4,1,6.54166666666667
27,27,6.14,0,0,1.4,1,6.54
28,28,6.13,0,0,1.4,1,6.53833333333334
29,29,6.12,0,0,1.4,1,6.53666666666667
30,30,6.11,0,0,1.4,1,6.535
31,31,6.1,0,0,1.4,1,6.53333333333334
32,32,6.1,0,0,1.4,0.98,6.53333333333334
33,33,6.1,0,0,1.4,0.96,6.53333333333334
34,34,6.1,0,0,1.4,0.94,6.53333333333334
35,35,6.1,0,0,1.4,0.92,6.53333333333334
36,36,6.1,0,0,1.4,0.9,6.53333333333334
37,37,6.1,0,0,1.4,0.88,6.53333333333334
38,38,6.1,0,0,1.4,0.86,6.53333333333334
39,39,6.1,0,0,1.4,0.84,6.53333333333334
40,40,6.1,0,0,1.4,0.82,6.53333333333334
41,41,6.1,0,0,1.4,0.8,6.53333333333334
42,42,6.08,0,0,1.41,0.8,6.53333333333334
43,43,6.06,0,0,1.42,0.8,6.53333333333334
44,44,6.04,0,0,1.43,0.8,6.53333333333334
45,45,6.02,0,0,1.44,0.8,6.53333333333334
46,46,6,0,0,1.45,0.8,6.53333333333334
47,47,5.98,0,0,1.46,0.8,6.53333333333334
48,48,5.96,0,0,1.47,0.8,6.53333333333334
49,49,5.94,0,0,1.48,0.8,6.53333333333334
50,50,5.92,0,0,1.49,0.8,6.53333333333334
51,51,5.9,0,0,1.5,0.8,6.53333333333334
52,52,5.9,0,0,1.5,0.8,6.535
53,53,5.9,0,0,1.5,0.8,6.53666666666667
54,54,5.9,0,0,1.5,0.8,6.53833333333334
55,55,5.9,0,0,1.5,0.8,6.54
56,56,5.9,0,0,1.5,0.8,6.54166666666667
57,57,5.9,0,0,1.5,0.8,6.54333333333334
58,58,5.9,0,0,1.5,0.8,6.545
59,59,5.9,0,0,1.5,0.8,6.54666666666667
60,60,5.9,0,0,1.5,0.8,6.54833333333333
61,61,5.9,0,0,1.5,0.8,6.55
62,62,5.95,0,0,1.5,0.8,6.55166666666667
63,63,6,0,0,1.5,0.8,6.55333333333333
64,64,6.05,0,0,1.5,0.8,6.555
65,65,6.1,0,0,1.5,0.8,6.55666666666667
66,66,6.15,0,0,1.5,0.8,6.55833333333333
67,67,6.2,0,0,1.5,0.8,6.56
68,68,6.25,0,0,1.5,0.8,6.56166666666667
69,69,6.3,0,0,1.5,0.8,6.56333333333334
70,70,6.35,0,0,1.5,0.8,6.565
71,71,6.4,0,0,1.5,0.8,6.56666666666667
72,72,6.48,0,0,1.46,0.78,6.56666666666667
73,73,6.56,0,0,1.42,0.76,6.56666666666667
74,74,6.64,0,0,1.38,0.74,6.56666666666667
75,75,6.72,0,0,1.34,0.72,6.56666666666667
76,76,6.8,0,0,1.3,0.7,6.56666666666667
77,77,6.88,0,0,1.26,0.68,6.56666666666667
78,78,6.96,0,0,1.22,0.66,6.56666666666667
79,79,7.04,0,0,1.18,0.64,6.56666666666667
80,80,7.12,0,0,1.14,0.62,6.56666666666667
81,81,7.2,0,0,1.1,0.6,6.56666666666667
82,82,7.26,0,0,1.08,0.6,6.565
83,83,7.32,0,0,1.06,0.6,6.56333333333334
84,84,7.38,0,0,1.04,0.6,6.56166666666667
85,85,7.44,0,0,1.02,0.6,6.56
