ticks,msecs,temp,precip%,cloud cover,humidity,wind,pressure
1,1,2.4,0.2,0.1,6,1.8,7.06666666666666
2,2,2.4,0.2,0.1,6,1.78,7.06833333333333
3,3,2.4,0.2,0.1,6,1.76,7.07
4,4,2.4,0.2,0.1,6,1.74,7.07166666666667
5,5,2.4,0.2,0.1,6,1.72,7.07333333333333
6,6,2.4,0.2,0.1,6,1.7,7.075
7,7,2.4,0.2,0.1,6,1.68,7.07666666666667
8,8,2.4,0.2,0.1,6,1.66,7.07833333333333
9,9,2.4,0.2,0.1,6,1.64,7.08
10,10,2.4,0.2,0.1,6,1.62,7.08166666666667
11,11,2.4,0.2,0.1,6,1.6,7.08333333333333
12,12,2.39,0.2,0.1,6.01,1.6,7.085
13,13,2.38,0.2,0.1,6.02,1.6,7.08666666666667
14,14,2.37,0.2,0.1,6.03,1.6,7.08833333333334
15,15,2.36,0.2,0.1,6.04,1.6,7.09
16,16,2.35,0.2,0.1,6.05,1.6,7.09166666666667
17,17,2.34,0.2,0.1,6.06,1.6,7.09333333333334
18,18,2.33,0.2,0.1,6.07,1.6,7.095
19,19,2.32,0.2,0.1,6.08,1.6,7.09666666666667
20,20,2.31,0.2,0.1,6.09,1.6,7.09833333333334
21,21,2.3,0.2,0.1,6.1,1.6,7.1
22,22,2.29,0.2,0.1,6.11,1.58,7.10166666666667
23,23,2.28,0.2,0.1,6.12,1.56,7.10333333333334
24,24,2.27,0.2,0.1,6.13,1.54,7.105
25,25,2.26,0.2,0.1,6.14,1.52,7.10666666666667
26,26,2.25,0.2,0.1,6.15,1.5,7.10833333333333
27,27,2.24,0.2,0.1,6.16,1.48,7.11
28,28,2.23,0.2,0.1,6.17,1.46,7.11166666666667
29,29,2.22,0.2,0.1,6.18,1.44,7.11333333333333
30,30,2.21,0.2,0.1,6.19,1.42,7.115
31,31,2.2,0.2,0.1,6.2,1.4,7.11666666666667
32,32,2.19,0.2,0.1,6.21,1.4,7.11666666666667
33,33,2.18,0.2,0.1,6.22,1.4,7.11666666666667
34,34,2.17,0.2,0.1,6.23,1.4,7.11666666666667
35,35,2.16,0.2,0.1,6.24,1.4,7.11666666666667
36,36,2.15,0.2,0.1,6.25,1.4,7.11666666666667
37,37,2.14,0.2,0.1,6.26,1.4,7.11666666666667
38,38,2.13,0.2,0.1,6.27,1.4,7.11666666666667
39,39,2.12,0.2,0.1,6.28,1.4,7.11666666666667
40,40,2.11,0.2,0.1,6.29,1.4,7.11666666666667
41,41,2.1,0.2,0.1,6.3,1.4,7.11666666666667
42,42,2.1,0.21,0.11,6.31,1.4,7.12
43,43,2.1,0.22,0.12,6.32,1.4,7.12333333333333
44,44,2.1,0.23,0.13,6.33,1.4,7.12666666666667
45,45,2.1,0.24,0.14,6.34,1.4,7.13
46,46,2.1,0.25,0.15,6.35,1.4,7.13333333333333
47,47,2.1,0.26,0.16,6.36,1.4,7.13666666666667
48,48,2.1,0.27,0.17,6.37,1.4,7.14
49,49,2.1,0.28,0.18,6.38,1.4,7.14333333333333
50,50,2.1,0.29,0.19,6.39,1.4,7.14666666666667
51,51,2.1,0.3,0.2,6.4,1.4,7.15
52,52,2.09,0.3,0.2,6.41,1.38,7.15333333333333
53,53,2.08,0.3,0.2,6.42,1.36,7.15666666666667
54,54,2.07,0.3,0.2,6.43,1.34,7.16
55,55,2.06,0.3,0.2,6.44,1.32,7.16333333333333
56,56,2.05,0.3,0.2,6.45,1.3,7.16666666666667
57,57,2.04,0.3,0.2,6.46,1.28,7.17
58,58,2.03,0.3,0.2,6.47,1.26,7.17333333333333
59,59,2.02,0.3,0.2,6.48,1.24,7.17666666666667
60,60,2.01,0.3,0.2,6.49,1.22,7.18
61,61,2,0.3,0.2,6.5,1.2,7.18333333333333
62,62,1.99,0.3,0.2,6.5,1.2,7.185
63,63,1.98,0.3,0.2,6.5,1.2,7.18666666666667
64,64,1.97,0.3,0.2,6.5,1.2,7.18833333333333
65,65,1.96,0.3,0.2,6.5,1.2,7.19
66,66,1.95,0.3,0.2,6.5,1.2,7.19166666666667
67,67,1.94,0.3,0.2,6.5,1.2,7.19333333333333
68,68,1.93,0.3,0.2,6.5,1.2,7.195
69,69,1.92,0.3,0.2,6.5,1.2,7.19666666666667
70,70,1.91,0.3,0.2,6.5,1.2,7.19833333333333
71,71,1.9,0.3,0.2,6.5,1.2,7.2
72,72,1.92,0.29,0.22,6.49,1.18,7.20166666666667
73,73,1.94,0.28,0.24,6.48,1.16,7.20333333333333
74,74,1.96,0.27,0.26,6.47,1.14,7.205
